"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"15665";"Font-Awesome/src/";2;29829;4
"15679";"Font-Awesome/src/assets/js/";4;11473;4
"15689";"Font-Awesome/src/3.2.1/";3;18356;4
"15850";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"15901";"Font-Awesome/";1;86044;4
"15909";"Font-Awesome/docs/assets/js/";4;50479;4
"15914";"Font-Awesome/docs/";2;50479;4
"15928";"Font-Awesome/build/";2;5736;4
"15942";"Font-Awesome/build/assets/js/";4;4589;4
"15961";"Font-Awesome/build/assets/";3;4589;4
"15983";"Font-Awesome/src/";2;29829;4
"15997";"Font-Awesome/src/assets/js/";4;11473;4
"16007";"Font-Awesome/src/3.2.1/";3;18356;4
"16168";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"16219";"Font-Awesome/";1;86044;4
"16227";"Font-Awesome/docs/assets/js/";4;50479;4
"16232";"Font-Awesome/docs/";2;50479;4
"16246";"Font-Awesome/build/";2;5736;4
"16260";"Font-Awesome/build/assets/js/";4;4589;4
"16279";"Font-Awesome/build/assets/";3;4589;4
"16301";"Font-Awesome/src/";2;29829;4
"16315";"Font-Awesome/src/assets/js/";4;11473;4
"16325";"Font-Awesome/src/3.2.1/";3;18356;4
"16486";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"16537";"Font-Awesome/";1;86044;4
"16545";"Font-Awesome/docs/assets/js/";4;50479;4
"16550";"Font-Awesome/docs/";2;50479;4
"16564";"Font-Awesome/build/";2;5736;4
"16578";"Font-Awesome/build/assets/js/";4;4589;4
"16597";"Font-Awesome/build/assets/";3;4589;4
